iter	Passed	Remaining
662	1302	662
663	1305	660
664	1306	658
665	1308	656
666	1309	653
667	1311	651
668	1312	649
669	1314	647
670	1315	645
671	1317	642
672	1318	640
673	1320	638
674	1322	636
675	1323	634
676	1325	632
677	1326	629
678	1327	627
679	1329	625
680	1330	623
681	1332	621
682	1335	619
683	1336	617
684	1338	615
685	1340	613
686	1341	611
687	1343	609
688	1344	606
689	1345	604
690	1347	602
691	1349	600
692	1351	598
693	1352	596
694	1354	594
695	1356	592
696	1357	590
697	1359	587
698	1360	585
699	1361	583
700	1364	581
701	1365	579
702	1367	577
703	1368	575
704	1370	573
705	1371	571
706	1373	569
707	1374	566
708	1376	564
709	1377	562
710	1379	560
711	1380	558
712	1383	556
713	1385	555
714	1387	552
715	1388	550
716	1390	548
717	1391	546
718	1393	544
719	1395	542
720	1397	540
721	1398	538
722	1400	536
723	1401	534
724	1403	532
725	1404	530
726	1406	528
727	1407	525
728	1409	523
729	1411	521
730	1412	519
731	1414	517
732	1415	515
733	1416	513
734	1418	511
735	1419	509
736	1421	507
737	1422	505
738	1424	503
739	1426	501
740	1428	499
741	1429	497
742	1431	494
743	1432	492
744	1433	490
745	1435	488
746	1436	486
747	1438	484
748	1440	482
749	1442	480
750	1443	478
751	1445	476
752	1446	474
753	1448	472
754	1449	470
755	1451	468
756	1452	466
757	1454	464
758	1456	462
759	1458	460
760	1460	458
761	1462	456
762	1464	454
763	1465	452
764	1467	450
765	1469	448
766	1471	446
767	1472	444
768	1474	442
769	1476	441
770	1478	439
771	1480	437
772	1481	435
773	1484	433
774	1486	431
775	1488	429
776	1489	427
777	1491	425
778	1492	423
779	1494	421
780	1495	419
781	1497	417
782	1498	415
783	1500	413
784	1502	411
785	1503	409
786	1505	407
787	1506	405
788	1507	403
789	1509	401
790	1510	399
791	1512	397
792	1514	395
793	1516	393
794	1517	391
795	1519	389
796	1520	387
797	1522	385
798	1523	383
799	1525	381
800	1526	379
801	1528	377
802	1530	375
803	1531	373
804	1533	371
805	1534	369
806	1536	367
807	1537	365
808	1539	363
809	1540	361
810	1542	359
811	1544	357
812	1546	355
813	1547	353
814	1549	351
815	1550	349
816	1552	347
817	1553	345
818	1555	343
819	1556	341
820	1557	339
821	1560	337
822	1561	335
823	1563	333
824	1564	331
825	1566	329
826	1567	327
827	1569	325
828	1570	324
829	1572	322
830	1574	320
831	1576	318
832	1577	316
833	1579	314
834	1580	312
835	1582	310
836	1583	308
837	1585	306
838	1586	304
839	1588	302
840	1590	300
841	1591	298
842	1593	296
843	1594	294
844	1596	292
845	1597	290
846	1599	288
847	1601	286
848	1602	285
849	1604	283
850	1606	281
851	1608	279
852	1609	277
853	1611	275
854	1612	273
855	1614	271
856	1616	269
857	1617	267
858	1619	265
859	1621	263
860	1622	262
861	1624	260
862	1626	258
863	1627	256
864	1629	254
865	1630	252
866	1632	250
867	1634	248
868	1636	246
869	1637	244
870	1639	242
871	1641	240
872	1643	239
873	1644	237
874	1646	235
875	1648	233
876	1650	231
877	1651	229
878	1653	227
879	1654	225
880	1656	223
881	1657	221
882	1658	219
883	1660	217
884	1662	215
885	1663	214
886	1666	212
887	1667	210
888	1669	208
889	1670	206
890	1672	204
891	1674	202
892	1675	200
893	1677	198
894	1679	196
895	1681	195
896	1682	193
897	1683	191
898	1685	189
899	1686	187
900	1688	185
901	1690	183
902	1691	181
903	1693	179
904	1695	177
905	1697	176
906	1698	174
907	1700	172
908	1701	170
909	1703	168
910	1705	166
911	1706	164
912	1708	162
913	1710	160
914	1711	159
915	1713	157
916	1714	155
917	1716	153
918	1717	151
919	1719	149
920	1720	147
921	1722	145
922	1724	143
923	1726	141
924	1727	140
925	1729	138
926	1731	136
927	1732	134
928	1734	132
929	1735	130
930	1737	128
931	1738	126
932	1740	125
933	1742	123
934	1744	121
935	1745	119
936	1746	117
937	1748	115
938	1749	113
939	1751	111
940	1753	109
941	1755	108
942	1756	106
943	1758	104
944	1759	102
945	1761	100
946	1762	98
947	1764	96
948	1765	94
949	1767	93
950	1769	91
951	1771	89
952	1773	87
953	1774	85
954	1776	83
955	1778	81
956	1779	79
957	1781	78
958	1782	76
959	1784	74
960	1786	72
961	1788	70
962	1790	68
963	1791	66
964	1793	65
965	1794	63
966	1796	61
967	1798	59
968	1800	57
969	1802	55
970	1804	53
971	1805	52
972	1807	50
973	1809	48
974	1811	46
975	1812	44
976	1815	42
977	1817	40
978	1819	39
979	1820	37
980	1822	35
981	1824	33
982	1826	31
983	1827	29
984	1830	27
985	1832	26
986	1834	24
987	1836	22
988	1838	20
989	1841	18
990	1843	16
991	1846	14
992	1848	13
993	1850	11
994	1852	9
995	1854	7
996	1856	5
997	1858	3
998	1861	1
999	1863	0
